iter	Passed	Remaining
183	525	2330
184	527	2324
185	529	2317
186	531	2312
187	533	2304
188	535	2296
189	536	2288
190	538	2282
191	540	2276
192	542	2269
193	544	2262
194	546	2255
195	548	2248
196	550	2242
197	551	2235
198	553	2229
199	556	2224
200	558	2218
201	560	2213
202	562	2207
203	564	2202
204	566	2196
205	568	2191
206	570	2185
207	572	2179
208	574	2175
209	576	2169
210	578	2163
211	580	2157
212	583	2156
213	585	2152
214	588	2147
215	590	2142
216	592	2136
217	593	2129
218	595	2122
219	596	2115
220	598	2109
221	600	2103
222	602	2098
223	603	2091
224	605	2084
225	606	2077
226	608	2071
227	609	2064
228	611	2058
229	612	2052
230	614	2045
231	616	2041
232	618	2034
233	619	2028
234	621	2022
235	622	2016
236	624	2009
237	625	2003
238	627	1997
239	628	1991
240	630	1984
241	631	1978
242	633	1972
243	634	1966
244	636	1960
245	637	1954
246	639	1949
247	640	1943
248	642	1937
249	643	1931
250	645	1925
251	646	1919
252	648	1913
253	649	1908
254	651	1902
255	652	1897
256	654	1892
257	656	1886
258	657	1881
259	659	1876
260	660	1871
261	662	1866
262	663	1860
263	665	1855
264	666	1849
265	668	1844
266	670	1839
267	671	1834
268	673	1829
269	674	1824
270	676	1819
271	678	1814
272	679	1809
273	681	1804
274	682	1799
275	684	1794
276	685	1789
277	687	1785
278	689	1780
279	690	1776
280	692	1771
281	694	1767
282	695	1762
283	697	1757
284	698	1752
285	699	1747
286	701	1742
287	702	1737
288	704	1733
289	706	1728
290	707	1724
291	709	1719
292	710	1715
293	712	1710
294	713	1705
295	715	1701
296	716	1696
297	718	1692
298	720	1688
299	721	1683
300	723	1679
301	724	1674
302	726	1670
303	727	1665
304	729	1661
305	730	1656
306	732	1653
307	734	1649
308	736	1645
309	737	1642
310	739	1637
311	740	1633
312	742	1629
313	743	1625
314	745	1621
315	747	1617
316	748	1613
317	750	1609
318	751	1605
319	753	1601
320	754	1596
321	756	1592
322	757	1588
323	759	1584
324	761	1581
325	762	1577
326	764	1573
327	766	1569
328	767	1565
329	769	1561
330	770	1557
331	772	1553
332	773	1549
333	775	1546
334	776	1542
335	778	1538
336	780	1534
337	781	1530
338	783	1527
339	784	1523
340	786	1519
341	787	1515
342	789	1512
343	791	1508
344	792	1504
345	794	1501
346	795	1497
347	797	1493
348	798	1490
349	800	1486
350	802	1483
351	803	1479
352	805	1476
353	807	1472
354	808	1469
355	810	1466
356	812	1463
357	814	1459
358	815	1456
359	817	1452
360	818	1449
361	820	1445
362	821	1442
363	823	1439
364	825	1436
365	827	1433
366	829	1429
367	830	1426
368	832	1424
369	834	1421
370	836	1419
371	839	1416
372	841	1413
373	842	1410
374	844	1407
375	846	1404
376	848	1401
377	850	1399
378	852	1396
379	854	1394
380	856	1391
381	858	1388
382	861	1388
383	864	1386
384	866	1384
385	869	1382
386	871	1380
387	876	1381
388	878	1380
389	881	1378
390	884	1377
391	890	1380
392	892	1378
393	895	1376
394	897	1374
395	899	1372
396	902	1370
397	904	1368
398	906	1366
399	909	1363
400	911	1361
401	914	1359
402	916	1357
403	918	1355
404	920	1353
405	923	1350
406	925	1347
407	927	1345
408	931	1345
409	934	1344
410	936	1341
411	938	1339
412	940	1336
413	942	1333
414	944	1331
415	946	1328
416	948	1325
417	950	1323
418	952	1320
419	954	1318
420	956	1315
421	959	1313
422	961	1312
423	964	1309
424	966	1306
425	967	1304
426	969	1301
427	971	1298
428	973	1296
429	975	1293
430	978	1291
431	980	1288
432	982	1286
433	984	1283
434	985	1280
435	987	1277
436	990	1275
437	992	1273
438	994	1270
439	996	1268
440	998	1265
441	1000	1262
442	1001	1259
443	1003	1257
444	1005	1254
445	1007	1251
446	1009	1249
447	1011	1246
448	1013	1244
449	1015	1240
450	1017	1238
451	1019	1235
452	1021	1233
453	1023	1230
454	1024	1227
455	1026	1224
456	1027	1221
457	1029	1218
458	1030	1214
459	1032	1212
460	1034	1209
461	1036	1206
462	1037	1203
463	1039	1201
464	1041	1198
465	1042	1194
466	1044	1191
467	1045	1189
468	1048	1186
469	1049	1183
470	1051	1181
471	1053	1178
472	1054	1175
473	1056	1172
474	1057	1168
475	1059	1166
476	1060	1163
477	1062	1160
478	1064	1157
479	1066	1155
480	1068	1152
481	1070	1150
482	1072	1147
483	1074	1145
484	1075	1142
485	1077	1139
486	1079	1137
487	1081	1134
488	1082	1131
489	1084	1128
490	1085	1125
491	1087	1122
492	1088	1119
493	1090	1116
494	1091	1113
495	1094	1111
496	1096	1109
497	1097	1106
498	1099	1104
499	1101	1101
500	1102	1098
501	1104	1095
502	1105	1092
503	1107	1090
504	1110	1088
505	1111	1085
506	1113	1082
507	1114	1079
508	1117	1077
509	1119	1075
510	1121	1072
511	1122	1070
512	1124	1067
513	1125	1064
514	1127	1061
515	1128	1058
516	1129	1055
517	1131	1053
518	1133	1050
519	1134	1047
520	1136	1044
521	1137	1041
522	1139	1038
523	1140	1036
524	1141	1033
525	1143	1030
526	1144	1027
527	1146	1025
528	1148	1022
529	1149	1019
530	1151	1016
531	1152	1013
532	1154	1011
533	1155	1008
534	1156	1005
535	1158	1002
536	1159	1000
537	1161	997
538	1163	994
539	1164	992
540	1166	989
541	1167	986
542	1169	983
543	1170	981
544	1171	978
545	1173	975
546	1174	972
547	1176	970
548	1178	967
549	1179	965
550	1181	962
551	1182	959
552	1184	957
553	1185	954
554	1186	951
555	1188	949
556	1189	946
557	1191	944
558	1193	941
559	1195	938
560	1196	936
561	1197	933
562	1199	930
563	1200	928
564	1202	925
565	1203	922
566	1205	920
567	1207	918
568	1208	915
569	1210	913
570	1211	910
571	1213	907
572	1214	905
573	1216	902
574	1217	900
575	1219	897
576	1221	895
577	1223	892
578	1224	890
579	1225	887
580	1227	885
581	1228	882
582	1230	879
583	1231	877
584	1232	874
585	1234	872
586	1236	869
587	1237	867
588	1239	864
589	1240	862
590	1242	859
591	1243	856
592	1244	854
593	1246	851
594	1247	849
595	1249	846
596	1251	844
597	1252	842
598	1254	839
599	1255	836
600	1256	834
601	1258	831
602	1259	829
603	1261	826
604	1262	824
605	1264	821
606	1265	819
607	1267	817
608	1268	814
609	1270	812
610	1271	809
611	1272	807
612	1274	804
613	1275	802
614	1277	799
615	1278	797
616	1280	795
617	1282	792
618	1283	790
619	1285	787
620	1286	785
621	1288	782
622	1289	780
623	1291	777
624	1292	775
625	1294	773
626	1295	770
627	1297	768
628	1298	765
629	1299	763
630	1301	760
631	1302	758
632	1304	756
633	1305	753
634	1307	751
635	1308	748
636	1310	746
637	1311	744
638	1313	741
639	1314	739
640	1316	737
641	1317	734
642	1318	732
643	1320	729
644	1321	727
645	1323	725
646	1324	722
647	1326	720
648	1328	718
649	1329	715
650	1330	713
651	1332	711
652	1333	708
653	1335	706
654	1336	703
655	1337	701
656	1339	699
657	1341	697
658	1342	694
659	1344	692
660	1345	690
661	1347	687
662	1348	685
663	1350	683
664	1351	680
665	1353	678
666	1354	676
667	1356	674
668	1358	671
669	1359	669
670	1360	667
671	1362	664
672	1363	662
673	1365	660
674	1366	658
675	1368	655
676	1370	653
677	1371	651
678	1373	649
679	1374	646
680	1376	644
681	1377	642
682	1378	639
683	1380	637
684	1381	635
685	1383	633
686	1385	631
687	1386	628
688	1388	626
689	1390	624
690	1391	622
691	1392	619
692	1394	617
693	1395	615
694	1397	613
695	1398	611
696	1400	608
697	1402	606
698	1404	604
699	1405	602
700	1406	600
701	1408	597
702	1410	595
703	1411	593
704	1412	591
705	1414	588
706	1416	586
707	1417	584
708	1419	582
709	1420	580
710	1421	577
711	1423	575
712	1424	573
713	1426	571
714	1427	569
715	1429	566
716	1431	564
717	1432	562
718	1433	560
719	1435	558
720	1436	556
721	1438	553
722	1439	551
723	1441	549
724	1442	547
725	1444	545
726	1446	543
727	1447	541
728	1449	538
729	1451	536
730	1452	534
731	1454	532
732	1455	530
733	1456	527
734	1458	525
735	1460	523
736	1462	521
737	1463	519
738	1465	517
739	1466	515
740	1467	513
741	1469	510
742	1470	508
743	1472	506
744	1473	504
745	1475	502
746	1477	500
747	1478	498
748	1479	495
749	1481	493
750	1482	491
751	1483	489
752	1485	487
753	1486	485
754	1488	482
755	1490	480
756	1491	478
757	1493	476
758	1494	474
759	1496	472
760	1497	470
761	1498	468
762	1500	465
763	1501	463
764	1503	461
765	1505	459
766	1506	457
767	1508	455
768	1509	453
769	1510	451
770	1512	449
771	1513	447
772	1515	444
773	1516	442
774	1518	440
775	1521	439
776	1523	437
777	1524	435
778	1526	432
779	1527	430
780	1529	428
781	1530	426
782	1532	424
783	1534	422
784	1536	420
785	1538	418
786	1539	416
787	1541	414
788	1542	412
789	1544	410
790	1545	408
791	1547	406
792	1548	404
793	1550	402
794	1552	400
795	1553	398
796	1555	396
797	1557	394
798	1558	392
799	1560	390
800	1562	388
801	1563	386
802	1565	384
803	1567	382
804	1568	379
805	1569	377
806	1571	375
807	1573	373
808	1575	371
809	1576	369
810	1578	367
811	1580	365
812	1581	363
813	1582	361
814	1584	359
815	1585	357
816	1587	355
817	1588	353
818	1590	351
819	1591	349
820	1593	347
821	1595	345
822	1596	343
823	1598	341
824	1599	339
825	1601	337
826	1602	335
827	1604	333
828	1605	331
829	1607	329
830	1608	327
831	1610	325
832	1611	323
833	1613	321
834	1614	319
835	1616	317
836	1617	315
837	1619	313
838	1620	311
839	1622	309
840	1623	306
841	1625	304
842	1626	302
843	1628	300
844	1629	298
845	1630	296
846	1632	294
847	1633	292
848	1635	290
849	1636	288
850	1638	286
851	1639	284
852	1641	282
853	1642	280
854	1644	278
855	1645	276
856	1647	274
857	1648	272
858	1650	270
859	1651	268
860	1653	266
861	1655	264
862	1656	262
863	1658	261
864	1659	259
865	1661	257
866	1663	255
867	1666	253
868	1668	251
869	1669	249
870	1671	247
871	1672	245
872	1674	243
873	1676	241
874	1677	239
875	1679	237
876	1681	235
877	1682	233
878	1684	231
879	1685	229
880	1687	227
881	1688	225
882	1690	224
883	1692	222
884	1693	220
885	1695	218
886	1696	216
887	1698	214
888	1700	212
889	1701	210
890	1703	208
891	1704	206
892	1706	204
893	1708	202
894	1710	200
895	1711	198
896	1713	196
897	1715	194
898	1716	192
899	1718	190
900	1720	189
901	1721	187
902	1723	185
903	1725	183
904	1726	181
905	1728	179
906	1729	177
907	1731	175
908	1733	173
909	1735	171
910	1736	169
911	1738	167
912	1739	165
913	1742	163
914	1744	162
915	1746	160
916	1747	158
917	1749	156
918	1750	154
919	1752	152
920	1753	150
921	1755	148
922	1757	146
923	1758	144
924	1760	142
925	1762	140
926	1764	138
927	1765	136
928	1767	135
929	1768	133
930	1770	131
931	1771	129
932	1773	127
933	1775	125
934	1776	123
935	1778	121
936	1779	119
937	1781	117
938	1783	115
939	1784	113
940	1786	111
941	1787	110
942	1789	108
943	1791	106
944	1792	104
945	1794	102
946	1796	100
947	1797	98
948	1799	96
949	1801	94
950	1802	92
951	1804	90
952	1806	89
953	1808	87
954	1809	85
955	1811	83
956	1813	81
957	1815	79
958	1816	77
959	1818	75
960	1820	73
961	1822	71
962	1823	70
963	1825	68
964	1828	66
965	1832	64
966	1834	62
967	1836	60
968	1837	58
969	1840	56
970	1842	55
971	1846	53
972	1848	51
973	1850	49
974	1852	47
975	1855	45
976	1857	43
977	1859	41
978	1861	39
979	1863	38
980	1864	36
981	1866	34
982	1868	32
983	1870	30
984	1872	28
985	1874	26
986	1876	24
987	1878	22
988	1881	20
989	1883	19
990	1885	17
991	1887	15
992	1889	13
993	1890	11
994	1892	9
995	1894	7
996	1896	5
997	1897	3
998	1899	1
999	1901	0
